geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0034976	response to endoplasmic reticulum stress	http://amigo.geneontology.org/amigo/term/GO:0034976	268	29	2.3529411764705883	12.325	0	0	440;467;488;811;1051;1491;1649;3309;3725;4189;5034;5366;5611;7184;7873;8614;9601;9709;10130;11153;23645;23753;51009;51726;56005;57761;58515;79094;84447	HERPUD1;HSPA5;MANF;DDIT3;PDIA4;HSP90B1;STC2;ATF3;SDF2L1;CHAC1;PMAIP1;CALR;TRIB3;CEBPB;PDIA6;JUN;PPP1R15A;ASNS;P4HB;CTH;MYDGF;SELENOK;FICD;DNAJB11;DNAJB9;ATP2A2;DERL2;DNAJC3;SYVN1
GO:0035966	response to topologically incorrect protein	http://amigo.geneontology.org/amigo/term/GO:0035966	188	21	1.6505706760316068	12.72287234042553	0	0	440;467;811;1491;1649;3309;4189;5611;7184;7873;8614;9709;10130;11153;23645;23753;51009;51726;56005;79094;84447	HERPUD1;HSPA5;MANF;DDIT3;HSP90B1;STC2;ATF3;SDF2L1;CHAC1;CALR;PDIA6;PPP1R15A;ASNS;CTH;MYDGF;FICD;DNAJB11;DNAJB9;DERL2;DNAJC3;SYVN1
GO:0006984	ER-nucleus signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0006984	45	9	0.39508340649692714	22.78	1.590112486127282e-10	4.505318710693965e-8	440;467;488;811;1649;3309;7184;9709;23645	HERPUD1;HSPA5;DDIT3;HSP90B1;ATF3;CALR;PPP1R15A;ASNS;ATP2A2
GO:0043620	regulation of DNA-templated transcription in response to stress	http://amigo.geneontology.org/amigo/term/GO:0043620	78	7	0.684811237928007	10.221794871794872	5.381961497130661e-6	0.0011436668181402654	467;1051;1649;3309;3725;7316;7422	HSPA5;DDIT3;ATF3;CEBPB;JUN;VEGFA;UBC
GO:0097193	intrinsic apoptotic signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0097193	285	12	2.502194907813872	4.79578947368421	7.84251923879875e-6	0.0013332282705957876	1051;1649;4170;5034;5366;9709;23645;54541;57761;58515;79094;84447	HERPUD1;DDIT3;CHAC1;PMAIP1;DDIT4;TRIB3;CEBPB;PPP1R15A;P4HB;SELENOK;MCL1;SYVN1
GO:0006457	protein folding	http://amigo.geneontology.org/amigo/term/GO:0006457	210	10	1.8437225636523267	5.423809523809523	1.6124787407756358e-5	0.0022843448827654838	811;3309;5034;5479;5611;7184;9601;10130;51726;134266	HSPA5;PDIA4;HSP90B1;CALR;PDIA6;P4HB;PPIB;DNAJB11;GRPEL2;DNAJC3
GO:0031667	response to nutrient levels	http://amigo.geneontology.org/amigo/term/GO:0031667	483	15	4.240561896400351	3.537267080745342	2.1908064406384042e-5	0.0026602649636323483	440;467;1649;3157;3309;3725;5111;5366;5723;6720;7071;7184;8614;54407;114789	HSPA5;DDIT3;HSP90B1;STC2;ATF3;PMAIP1;SLC38A2;JUN;ASNS;HMGCS1;PCNA;PSPH;SLC25A25;SREBF1;KLF10
GO:0034248	regulation of cellular amide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034248	385	13	3.3801580333625987	3.845974025974026	3.393970531018198e-5	0.003606093689206835	811;1153;1974;1983;3491;5187;5611;5997;6472;10972;23645;23657;51335	CALR;SHMT2;CCN1;PPP1R15A;EIF4A2;PER1;NGRN;CIRBP;EIF5;SLC7A11;DNAJC3;RGS2;TMED10
GO:0032527	protein exit from endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0032527	47	5	0.4126426690079017	12.117021276595743	5.511394804869063e-5	0.00520520620459856	7184;9709;51009;54732;84447	HERPUD1;HSP90B1;TMED9;DERL2;SYVN1
GO:1903513	endoplasmic reticulum to cytosol transport	http://amigo.geneontology.org/amigo/term/GO:1903513	28	4	0.24582967515364357	16.27142857142857	9.863976468726943e-5	0.008384379998417901	7184;9709;51009;84447	HERPUD1;HSP90B1;DERL2;SYVN1
