Gene Set,Description,Size,Expect,Ratio,P Value,FDR
GO:0033554,cellular response to stress,1867,25.096,2.9088,<2.2e-16,<2.2e-16
GO:0034976,response to endoplasmic reticulum stress,268,3.6025,11.103,<2.2e-16,<2.2e-16
GO:0035966,response to topologically incorrect protein,188,2.5271,11.871,<2.2e-16,<2.2e-16
GO:0006986,response to unfolded protein,168,2.2583,12.842,<2.2e-16,<2.2e-16
GO:0035967,cellular response to topologically incorrect protein,150,2.0163,13.391,<2.2e-16,<2.2e-16
GO:0034620,cellular response to unfolded protein,132,1.7744,14.653,<2.2e-16,<2.2e-16
GO:0030968,endoplasmic reticulum unfolded protein response,115,1.5458,16.819,<2.2e-16,<2.2e-16
GO:0006984,ER-nucleus signaling pathway,45,0.6049,23.144,4.44E-16,5.05E-13
GO:1905897,regulation of response to endoplasmic reticulum stress,78,1.0485,15.26,5.44E-15,5.50E-12
GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,61,0.81997,17.074,5.40E-14,4.91E-11
